evidence_id,file_name,sha256,evidence_type,source_owner_role,source_system,collection_method,collection_timestamp,period_start,period_end,asset_ids,application_ids,business_service_ids,control_or_test_refs,classification,synthetic_flag,integrity_status
MT-EV-501,artifacts/MT-EV-501-security-risk-review.md,28471247bdda8e2eb3e5bec039abffb93be9906aee86cf24526293b105c71dad,Governance record,CISO,Manual governance record,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-04-01,2026-04-15,,,MT-BS-001;MT-BS-012,GDPR-CTL-001;MT-TST-501,Internal,true,Hash verified
MT-EV-502,artifacts/MT-EV-502-privacy-security-governance-review.md,eb963740720748c10881a4df2fd1fd975bbfabbbb0b0892d16094d3d3280e619,Meeting record,DPO,Manual governance record,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-16,,,MT-BS-012,GDPR-CTL-001;MT-TST-501,Internal,true,Hash verified
MT-EV-503,artifacts/MT-EV-503-privileged-identity-export.csv,85014e1169704cfc945d764da9950d00214bf59cc42cc6ebaf4a5a017faebed5,System export,IAM Operations Manager,MT-APP-001 Microsoft Entra ID,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-31,MT-AST-001,MT-APP-001,MT-BS-009,GDPR-CTL-002;MT-TST-502,Internal,true,Hash verified
MT-EV-504,artifacts/MT-EV-504-conditional-access-baseline.md,a06fe485cd338db38b3e535f93172705334eabf5a3ad0e974af62cc6e4ba88d5,Configuration,Director of IAM,MT-APP-001 Microsoft Entra ID,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-31,MT-AST-001,MT-APP-001,MT-BS-009,GDPR-CTL-002;MT-TST-502,Internal,true,Hash verified
MT-EV-505,artifacts/MT-EV-505-jml-sample.csv,7d37e6c63fa408fe53c7f061eaee25a9ffacb94ca45a5944d03eff452008afa9,Ticket/export sample,IAM Operations Manager,MT-APP-007 ServiceNow ITSM,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-04-01,2026-06-30,MT-AST-010,MT-APP-007;MT-APP-001,MT-BS-009,GDPR-CTL-003;MT-TST-503,Internal,true,Hash verified
MT-EV-506,artifacts/MT-EV-506-encryption-baseline.md,765b5be1df1943c8829adaa7c18a01b47c1c41dda174b58ec550657da9eb9444,Configuration/test output,Cloud Platform Manager,MT-APP-003 Microsoft Azure Platform,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-31,MT-AST-003;MT-AST-005;MT-AST-016;MT-AST-025,MT-APP-003;MT-APP-011;MT-APP-012;MT-APP-018,MT-BS-001;MT-BS-005;MT-BS-012,GDPR-CTL-004;MT-TST-504,Internal,true,Hash verified
MT-EV-507,artifacts/MT-EV-507-dlp-test-sample.csv,b24f27b9aeef9bef58b7e99a6f9aec2279eb90532ec42b18e5cdcd423884e089,DLP report,Security Engineering Lead,Microsoft Purview / endpoint controls (synthetic),Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-04-01,2026-07-31,MT-AST-002;MT-AST-024,MT-APP-002;MT-APP-020,MT-BS-012,GDPR-CTL-005;MT-TST-505,Internal,true,Hash verified
MT-EV-508,artifacts/MT-EV-508-vulnerability-aging.csv,48053c987e2798238fb6f9291c9c5aa118dd9fee0d9bea0338057346e99179ec,Vulnerability report,Vulnerability Operations Lead,MT-APP-016 Qualys VMDR,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-31,MT-AST-003;MT-AST-005;MT-AST-022,MT-APP-016;MT-APP-012;MT-APP-018,MT-BS-001;MT-BS-005,GDPR-CTL-006;MT-TST-506,Internal,true,Hash verified
MT-EV-509,artifacts/MT-EV-509-critical-log-source-inventory.csv,34bd6e7273be6010bdacc283f3374794f4baf3b92eb987c54d27026bab27c8be,System inventory,SIEM Engineering Lead,MT-APP-005 Microsoft Sentinel,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-31,MT-AST-008;MT-AST-023,MT-APP-005;MT-APP-018;MT-APP-019,MT-BS-008;MT-BS-012,GDPR-CTL-007;MT-TST-507,Internal,true,Hash verified
MT-EV-510,artifacts/MT-EV-510-siem-coverage-review.md,281c92e13898a4f7a04a6c44418c546f1c8e18d011cb632d1425a7e0d0b9c4ac,Review record,Head of Security Operations,MT-APP-005 Microsoft Sentinel,Generated synthetic fixture / portfolio document,2026-08-21T16:00:00+01:00,2026-07-01,2026-07-31,MT-AST-008;MT-AST-023,MT-APP-005;MT-APP-018;MT-APP-019,MT-BS-008;MT-BS-012,GDPR-CTL-007;MT-TST-507,Internal,true,Hash verified
