control_id,theme,framework_reference,control_objective,risk_ids,owner,design_effectiveness,operating_effectiveness,population,sample,sampling_rationale,evidence_refs,workpaper_ref,exception_refs,finding_id,conclusion
GDPR-CTL-001,Security governance & risk management,"UK GDPR Articles 5(1)(f), 5(2), 32(1)-(2)",Security measures for personal information are selected and reviewed using documented risk context and accountability.,MT-RSK-007;MT-RSK-009,CISO / DPO,Effective,Effective,Quarterly security/privacy risk reviews in assessment period (2),2 of 2,Full population due to small population and governance significance.,MT-EV-501;MT-EV-502,MT-WP-501,,,Effective
GDPR-CTL-002,Privileged authentication,UK GDPR Article 32(1)-(2),Privileged access to systems processing personal information uses strong authentication and controlled exceptions commensurate with risk.,MT-RSK-001;MT-RSK-007,Director of IAM,Partially Effective,Partially Effective,42 privileged identities in Entra/PAM scope,42 of 42,"Full population because privileged identities are small, high impact and system-export testing was feasible.",MT-EV-503;MT-EV-504,MT-WP-502,MT-EXC-501,GDPR-FND-001,Partial - legacy access path bypassed MFA for 3 privileged identities.
GDPR-CTL-003,Joiner/mover/leaver access,UK GDPR Article 32(1)-(2),Access to personal-data systems is provisioned and removed through controlled lifecycle workflows.,MT-RSK-001,Director of IAM,Effective,Effective,68 leavers and 31 role changes in Q2 2026,"20 records (12 leavers, 8 movers)",Judgemental sample includes high-privilege and customer-data application access across three months.,MT-EV-505,MT-WP-503,,,Effective - sampled access removals/changes evidenced and timely.
GDPR-CTL-004,Encryption & key protection,UK GDPR Article 32(1)(a),Personal information is protected in transit and at rest using risk-appropriate cryptographic safeguards.,MT-RSK-007;MT-RSK-008,Director of Cloud & Infrastructure,Effective,Effective,6 in-scope personal-data application/storage paths,6 of 6,Full population for selected critical processing paths.,MT-EV-506,MT-WP-504,,,Effective for selected paths; no unsupported plaintext storage path identified.
GDPR-CTL-005,Data loss prevention / exfiltration protection,UK GDPR Article 32(1)-(2),Controls reduce unauthorised disclosure of restricted personal information through managed endpoints and collaboration services.,MT-RSK-007,CISO Security Engineering,Effective,Effective,12 high-risk DLP policy rules; 37 triggered incidents in assessment period,8 incidents plus all 12 policy-rule configurations,Configuration full-population plus judgemental incident sample weighted to highest severity.,MT-EV-507,MT-WP-505,,,Effective - sampled incidents were triaged and policy configuration matched approved standard.
GDPR-CTL-006,Vulnerability management,"UK GDPR Article 32(1)-(2), 32(1)(d)",Known technical vulnerabilities affecting systems processing personal information are identified and remediated within risk-based timelines.,MT-RSK-003;MT-RSK-007,Head of Vulnerability Management,Effective,Partially Effective,27 Critical/High vulnerabilities on selected personal-data assets during July 2026,27 of 27,Full population of highest severity vulnerabilities to avoid understating aged exposure.,MT-EV-508,MT-WP-506,MT-EXC-505,GDPR-FND-005,"Partial - 10 items exceeded approved remediation windows, including 4 Critical."
GDPR-CTL-007,Logging & security monitoring,UK GDPR Article 32(1)-(2),Security-relevant activity from critical personal-data systems is available for timely detection and investigation.,MT-RSK-004;MT-RSK-007;MT-RSK-009,Head of Security Operations,Effective,Partially Effective,12 critical personal-data/security log sources,12 of 12,Full population because source coverage can be reconciled directly to the critical-system inventory.,MT-EV-509;MT-EV-510,MT-WP-507,MT-EXC-502,GDPR-FND-002,Partial - 2 critical sources lacked central ingestion/alert coverage.
GDPR-CTL-008,Availability & resilience,UK GDPR Article 32(1)(b),Systems processing personal information have resilience measures proportionate to service and data criticality.,MT-RSK-005;MT-RSK-010,Director of Cloud & Infrastructure,Effective,Effective,4 critical processing services in selected scope,4 of 4,Full population for selected critical services.,MT-EV-511,MT-WP-508,,,Effective - redundancy and recovery design were documented for selected services.
GDPR-CTL-009,Backup restore capability,UK GDPR Article 32(1)(c),MTFS can restore availability and access to personal information following an incident within defined recovery objectives.,MT-RSK-005;MT-RSK-007,Backup & Recovery Lead,Effective,Partially Effective,8 protected backup sets for selected critical systems,"4 backup sets including core banking, CRM, privacy case management and identity configuration",Judgemental sample prioritises highest customer/privacy impact and different recovery technologies.,MT-EV-512;MT-EV-513,MT-WP-509,MT-EXC-503,GDPR-FND-003,Partial - one critical core-banking restore had no completed annual restore-test evidence.
GDPR-CTL-010,Control effectiveness testing,UK GDPR Article 32(1)(d),"Security controls are regularly tested, assessed and tracked to remediation.",MT-RSK-007;MT-RSK-009,Cyber GRC,Effective,Effective,6 scheduled security-control assurance activities in H1 2026,6 of 6,Full population due to small governance population.,MT-EV-514,MT-WP-510,,,Effective - testing schedule and issue tracking were evidenced.
GDPR-CTL-011,Personal-data breach readiness,"UK GDPR Articles 32, 33; Article 34 considered where high risk","Potential personal-data breaches are identified, assessed, escalated and capable of notification without undue delay and within applicable statutory timeframes.",MT-RSK-009;MT-RSK-007,DPO / Incident Response Lead,Effective,Effective,1 tabletop plus 9 synthetic privacy incidents in Q2 sample register,1 tabletop + 5 incident records,Tabletop exercises end-to-end readiness; record sample covers different severity/notification outcomes.,MT-EV-515;MT-EV-516,MT-WP-511,,,Effective - tabletop reached a reasoned reportability decision and prepared notification within 26 hours of awareness.
GDPR-CTL-012,Processor security assurance,"UK GDPR Articles 28(1), 28(3), 32","Material processors provide sufficient security guarantees, contracts include required security obligations, and assurance is refreshed proportionate to risk.",MT-RSK-006;MT-RSK-007,Head of Third-Party Risk / DPO,Effective,Partially Effective,5 material processors in selected ROPA activities,"3 processors: MT-TP-001, MT-TP-003, MT-TP-010","Judgemental sample covers critical cloud, privacy workflow and customer CRM processing.",MT-EV-517;MT-EV-518,MT-WP-512,MT-EXC-504,GDPR-FND-004,Partial - Northbridge annual security assurance was overdue and an earlier penetration-test action lacked closure evidence.
